YEAR_GRG,pt_cost_to_effective_budget_ratio_standard,spd_bus_freeflow_standard,spd_met_standard,len_bus_standard,len_brt_standard,len_met_standard,bus_purchases_vehicles_year_standard,brt_purchases_vehicles_year_standard,metro_car_purchases_vehicles_year_standard,modal_share_PT_standard,time_loss_car_hours_year_standard,pt_cost_to_effective_budget_ratio_hard,spd_bus_freeflow_hard,spd_met_hard,len_bus_hard,len_brt_hard,len_met_hard,bus_purchases_vehicles_year_hard,brt_purchases_vehicles_year_hard,metro_car_purchases_vehicles_year_hard,modal_share_PT_hard,time_loss_car_hours_year_hard,realization_factor
2024.0,0.6987730148340433,40.0,42.0,2427.7678571428696,158.0142857142855,287.14285714286234,212.4285714286018,59.21428571428987,2.8,0.1434147837414491,795696762.4333465,0.6987730148340433,40.0,42.0,2427.7678571428696,158.0142857142855,287.14285714286234,212.4285714286018,59.21428571428987,2.8,0.1434147837414491,795696762.4333465,1.0
2025.0,0.8369961671565388,40.0,42.0,2345.202380952396,153.9535714285721,298.2023809523853,213.10714285717967,63.34523809524399,2.8,0.1805754461149514,839844431.4813004,0.8369961671565388,40.0,42.0,2345.202380952396,153.9535714285721,298.2023809523853,213.10714285717972,63.345238095243985,2.8,0.1805754461149514,839844431.4813005,1.0
2026.0,0.8853909100015949,42.0,43.0,2353.1423809524,158.88642857143023,315.4471428571464,235.1642857143337,74.22380952381592,3.22,0.1812596091929389,729769840.7663532,0.8853909100015949,42.0,43.0,2353.1423809524,158.88642857143023,315.4471428571464,235.1642857143337,74.22380952381592,3.2199999999999998,0.18125960919293893,729769840.7663532,1.0
2027.0,0.9411280613855728,43.5,44.0,2267.2742857143376,154.58207142857404,326.7278571428598,235.91071428576964,78.76785714286343,3.22,0.1795824534691671,747991146.4482569,0.9411280613855727,43.5,44.0,2267.2742857143376,154.58207142857404,326.7278571428598,235.91071428576964,78.76785714286343,3.2199999999999998,0.17958245346916712,747991146.448257,1.0
2028.0,1.0132880398347228,45.0,45.0,2265.3064285714854,155.9485714285751,347.9500000000018,253.8685714286385,89.37095238095903,3.64,0.1803849611946694,771617524.3778557,1.0132880398347228,45.0,45.0,2265.3064285714854,155.9485714285751,347.9500000000018,253.86857142863846,89.37095238095903,3.6399999999999997,0.18038496119466943,771617524.3778555,1.0
2029.0,1.086061968306277,45.0,45.0,2176.135714285774,151.48178571429037,359.5625000000009,254.66928571436068,94.24547619048272,3.64,0.1810729237258922,781722200.7860439,1.0852806332468308,44.81180980527991,44.76248232128715,2174.0218348548806,151.3011948669539,359.3379654890941,254.15984333182524,94.05694682071996,3.6289844219783864,0.18082635491246807,781764801.0973718,0.9868862166409363
2030.0,1.1739888813968795,45.0,45.0,2086.965000000063,147.0150000000056,371.175,255.47000000008265,99.12000000000856,3.64,0.1838459134704484,793090038.2957267,1.1686794040940787,43.87234214300405,43.57676603728292,2074.817420203871,145.96478715327484,369.78611020830783,252.40776321466473,97.93188041582825,3.573993356434431,0.18235321755163786,793836085.5559189,0.9214206624219424
