sampler,study,number,params_alpha_delay_congestion_r12,params_congestion_multiplier_r12,params_spd_bus_history_calibration_factor,params_spd_car_history_calibration_factor
TPE,tpe_seed42,0,1.0,3.04882125,1.0,1.0
TPE,tpe_seed42,1,1.0197316968394077,3.190282861933176,1.0901428612819832,0.9749080237694724
TPE,tpe_seed42,2,1.0732352291549871,2.7793564352110334,0.9311989040672406,0.9312037280884872
TPE,tpe_seed42,3,1.093981970432399,2.7564908137259096,1.0416145155592091,1.0202230023486418
TPE,tpe_seed42,4,0.9366809019706868,2.8548094897603127,0.9424678221356552,1.0664885281600844
TPE,tpe_seed42,5,0.9582458280396084,3.007323755333546,1.0049512863264476,0.9608484485919075
TPE,tpe_seed42,6,0.9732723686587385,2.922078487505591,0.9278987721304084,1.022370578944476
TPE,tpe_seed42,7,1.0028468876827223,2.865693059022456,1.0570351922786028,0.9912139968434072
TPE,tpe_seed42,8,0.9341048247374584,3.114398255961042,0.9092900825439996,1.0184829137724083
TPE,tpe_seed42,9,1.0616794696232923,3.332747017423684,1.0897771074506668,0.913010318597056
TPE,tpe_seed42,10,1.0197316968394077,3.190282861933176,1.0901428612819832,0.9749080237694724
TPE,tpe_seed42,11,1.0732352291549871,2.7793564352110334,0.9311989040672406,0.9312037280884872
TPE,tpe_seed42,12,0.9717149419189176,2.772694897293521,1.071335875054579,1.0330230043663853
TPE,tpe_seed42,13,1.0212118259070253,2.98938143993071,1.0128727868056724,1.0573256038451162
TPE,tpe_seed42,14,1.027656554852294,2.758821223340384,1.0646411850264472,0.9342061661631476
TPE,tpe_seed42,15,1.0431136939595906,2.930060348277384,1.07788708962614,1.0106902099778168
TPE,tpe_seed42,16,1.0414456308460769,3.0879721610825386,1.010841092493965,0.9518435136874824
TPE,tpe_seed42,17,0.9669315988239288,3.3238139004567144,1.0068114868740328,1.0224444730476063
TPE,tpe_seed42,18,0.9636572500249616,3.2943573456151327,0.9239603928791166,0.9368417667903312
TPE,tpe_seed42,19,0.9162572802817504,2.7729276379401413,1.0579078457574471,0.9489035873706894
TPE,tpe_seed42,20,0.9415237683243036,3.333692971520037,1.0399750019843197,0.9054922561960564
TPE,tpe_seed42,21,1.0175962769095035,2.9995303539573928,1.0106635698646578,1.048466165558432
TPE,tpe_seed42,22,1.0767093350608756,3.182204683265551,0.984550265003895,1.0305832028715507
TPE,tpe_seed42,23,1.009672173771687,3.09870806594744,1.0713256891611525,1.0931545440012969
TPE,tpe_seed42,24,1.01361263498737,3.091657781963822,1.0223814487378344,1.0079206316363605
TPE,tpe_seed42,25,0.9553330450067776,3.1108361418198047,1.0137583379938797,1.0504870817727576
TPE,tpe_seed42,26,1.0249294090286234,3.1499363706915293,1.0136571814627378,1.032499610381544
TPE,tpe_seed42,27,1.0303610321191223,3.2342077283238866,0.9956484975486852,1.0603332610182654
TPE,tpe_seed42,28,1.0041564958952442,3.041031382889558,0.9230640045643488,0.9208070139913738
TPE,tpe_seed42,29,1.0573667884108124,3.1972659651251045,1.0566314392220593,1.043032365657642
TPE,tpe_seed42,30,1.0107780960481594,3.078672086478835,0.985685540810927,0.9809178086322358
TPE,tpe_seed42,31,1.0219369175286206,3.120342595449812,0.952961935084728,0.9806239789601624
TPE,tpe_seed42,32,0.987934434284092,3.143338095541888,0.9922789496152457,0.9992951456601982
TPE,tpe_seed42,33,0.9862432243088824,3.094504011246326,0.9892504920325575,0.981026107713036
TPE,tpe_seed42,34,1.0028743100090107,3.2593564563067083,1.009147263108817,0.9697509324175978
TPE,tpe_seed42,35,0.9979452246242028,2.9863972604459748,0.9922516529570572,1.0003498823668506
TPE,tpe_seed42,36,0.9878649343256716,3.0997660361536754,1.0583183604040065,0.9811131397696728
TPE,tpe_seed42,37,0.989165397020943,3.093252623045388,1.0240641166047522,1.013049065707153
TPE,tpe_seed42,38,0.9677892084541884,3.0057352367183032,1.0567515690518776,0.9748264079860408
TPE,tpe_seed42,39,0.9792378017239416,3.1591374880224614,1.062717439896829,1.0051709672181557
Random,random_seed101,0,1.0,3.04882125,1.0,1.0
Random,random_seed101,1,0.9343043312450208,2.761301690352747,1.014133517373628,1.0032797255404893
Random,random_seed101,2,1.0787226159366796,2.931116151713778,1.0667793725272154,1.0370553963394626
Random,random_seed101,3,0.9704263908053228,3.0818872964315127,0.9379877908409594,1.044308772353661
Random,random_seed101,4,0.9464707323629522,3.332656278001618,1.0571203523728718,0.9363784805320158
Random,random_seed101,5,0.9552477656994526,3.1884528469029165,1.0207096844582435,0.9167122867326688
Random,random_seed101,6,0.9275738475124212,2.773503262600406,1.0035734948394095,1.0370612657560356
Random,random_seed101,7,1.0157579070950835,3.061422270110562,1.0988635802308195,0.9373934852275844
Random,random_seed101,8,1.0615840301975834,3.300747519230997,1.0083923544459188,1.0469638116538764
Random,random_seed101,9,0.968726315578512,3.32496928028814,0.9714448685641576,0.9805995661387577
Random,random_seed202,1,1.0985874733266283,3.339899015324083,0.952810862199077,0.9448412359979254
Random,random_seed202,2,0.9228650158492578,3.109558037153096,1.0142951075941873,1.0989984203867689
Random,random_seed202,3,1.010526424605574,3.3482420502460504,0.9463728210236738,1.0620047463597402
Random,random_seed202,4,1.0745688490221204,3.011237116476297,0.9173986386806172,0.9877536584380208
Random,random_seed202,5,1.0742258126379385,2.877078281444267,1.0486530490097616,0.9822444899232908
Random,random_seed202,6,1.0508816165466774,3.0072280026792755,0.9387365996472702,1.010523387691607
Random,random_seed202,7,0.9687573647876984,3.281878282693192,0.9566426332671536,0.9929242019513388
Random,random_seed202,8,0.9337870354187788,2.979702835424233,1.0612829120592036,1.0834868722062836
Random,random_seed202,9,0.9647110548709774,2.766960608140032,0.9056300438697052,0.935376293531533
Random,random_seed303,1,1.0621783718926188,3.0797937888121094,0.9562070142660926,1.0500296846854658
Random,random_seed303,2,0.9720600852198864,2.8579850300250773,0.9870566066242712,1.0242346282139487
Random,random_seed303,3,0.92908816055724,3.1435681301338465,1.017542324050048,0.9576825223788458
Random,random_seed303,4,0.944288778131631,3.151789929414511,1.0106798166311044,0.919646890803962
Random,random_seed303,5,1.0076644999869355,3.1972952693056933,0.9251749669637992,0.904664631391914
Random,random_seed303,6,1.007693176747856,2.762458395517373,1.0517172150443397,0.916566510026468
Random,random_seed303,7,0.9129670297589332,3.324365866796561,0.9021185484766148,1.099779168767532
Random,random_seed303,8,1.0335830066343132,2.932642784715207,1.0024748208403964,0.9813801366017324
Random,random_seed303,9,0.9841622064981048,2.789250876921088,0.9428719386808128,1.001218698286183
Random,random_seed404,1,0.9556070611087129,3.288523075819892,0.9701422630739406,1.033765017126236
Random,random_seed404,2,0.9012494502398012,3.031846665097896,1.0835782755283632,0.9104974088129276
Random,random_seed404,3,0.9693425550465744,3.2134291443624683,1.0682253391510956,0.9976012698988014
Random,random_seed404,4,1.0201799748041642,3.14774860888718,1.045457048006326,0.9717874242157296
Random,random_seed404,5,1.039677745560719,2.7545915947989816,1.0399186493442774,1.0448599693072051
Random,random_seed404,6,1.0482675699829864,3.27278070713186,1.096932756540959,0.9587303198520802
Random,random_seed404,7,0.9320241592461443,2.7594089558856933,0.9591716204229718,0.9709017320550786
Random,random_seed404,8,0.9019643093077944,3.18656782863843,0.9303062199023592,1.063826450808968
Random,random_seed404,9,1.0163089034884556,3.3470064438520546,0.9458625226870266,1.0402864710253628
