agent_id,in_degree,out_degree,engine_isolated,external_support_role,unused_configured_node
brts_total,2,2,False,,False
bus_fare_rate,0,3,False,,False
bus_fare_rate_base,0,2,False,,False
bus_purchases_vehicles_year,0,2,False,,False
bus_retirements_vehicles_year,0,1,False,,False
bus_vehicles_per_km,2,5,False,,False
buses_total,2,2,False,,False
capacity_PCE_per_km_hour,0,1,False,,False
capex_bike_infrastructure_IRR_per_km_base,0,1,False,,False
capex_bike_infrastructure_IRR_per_km_indexed,2,2,False,,False
capex_brt_bus_EV_IRR_per_vehicle_base,0,1,False,,False
capex_brt_bus_EV_IRR_per_vehicle_indexed,2,1,False,,False
capex_brt_bus_IRR_per_vehicle_base,0,1,False,,False
capex_brt_bus_IRR_per_vehicle_indexed,2,1,False,,False
capex_brt_infrastructure_IRR_per_km_base,0,1,False,,False
capex_brt_infrastructure_IRR_per_km_indexed,2,2,False,,False
capex_bus_EV_IRR_per_vehicle_base,0,1,False,,False
capex_bus_EV_IRR_per_vehicle_indexed,2,1,False,,False
capex_bus_IRR_per_vehicle_base,0,1,False,,False
capex_bus_IRR_per_vehicle_indexed,2,1,False,,False
capex_car_EV_IRR_per_vehicle_base,0,1,False,,False
capex_car_EV_IRR_per_vehicle_indexed,2,1,False,,False
capex_car_IRR_per_vehicle_base,0,1,False,,False
capex_car_IRR_per_vehicle_indexed,2,1,False,,False
capex_metro_infrastructure_IRR_per_km_base,0,1,False,,False
capex_metro_infrastructure_IRR_per_km_indexed,2,2,False,,False
capex_metro_train_IRR_per_trainset_base,0,1,False,,False
capex_metro_train_IRR_per_trainset_indexed,2,1,False,,False
capex_parking_structure_IRR_per_space_base,0,1,False,,False
capex_parking_structure_IRR_per_space_indexed,2,0,False,,False
capex_road_upgrade_IRR_per_km_base,0,1,False,,False
capex_road_upgrade_IRR_per_km_indexed,2,2,False,,False
capex_taxi_EV_IRR_per_vehicle_base,0,1,False,,False
capex_taxi_EV_IRR_per_vehicle_indexed,2,1,False,,False
capex_taxi_IRR_per_vehicle_base,0,1,False,,False
capex_taxi_IRR_per_vehicle_indexed,2,1,False,,False
car_energy_closure_factor,0,9,False,,False
car_purchases_vehicles_year,1,2,False,,False
car_retirements_vehicles_year,1,1,False,,False
cars_per_trainset,0,2,False,,False
cng_kg_year_r12,7,3,False,,False
coef_k_commute,0,12,False,,False
coef_k_fare,0,4,False,,False
coef_k_fee,0,4,False,,False
coef_k_fuel,0,2,False,,False
coef_k_park,0,4,False,,False
coef_k_speed,0,4,False,,False
commute_management_multiplier,0,12,False,,False
commute_management_multiplier_base,0,12,False,,False
commute_share_of_trips,0,1,False,,False
con_dst_r12,0,1,False,,False
concentration_NO2_excess_ugm3,2,1,False,,False
concentration_NO2_ugm3,3,2,False,,False
concentration_NO2_ugm3_r12_proxy,3,0,False,,False
concentration_PM25_excess_ugm3,2,4,False,,False
concentration_PM25_ugm3,3,1,False,,False
