metric,truth_col,kind,n,mae,rmse,bias,mape_percent,obs_mean,sim_mean,last_obs,last_sim
annual_km_taxi,annual_km_taxi_truth,derived,11,3629.0839018193656,4858.346172517387,-2733.227262999439,6.048473169698942,60000.0,57266.77273700056,60000.0,60273.91795544727
annual_km_motorcycle,annual_km_motorcycle_truth,derived,11,1813.4931051420763,2239.881083591524,615.5667512448946,11.334331907137974,16000.0,16615.56675124489,16000.0,18411.04331841269
annual_km_car,annual_km_car_truth,derived,11,1710.0584766806603,1944.9343122437483,567.6284750002972,14.250487305672166,12000.0,12567.628475000296,12000.0,13955.051904550908
share_taxi_CNG,share_taxi_CNG_truth,direct,11,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.9
fc_motorcycle_gasoline_litre_km,fc_motorcycle_gasoline_litre_km_truth,direct,11,0.0,0.0,0.0,0.0,0.025,0.025,0.025,0.025
fc_car_gasoline_litre_km,fc_car_gasoline_litre_km_truth,direct,11,0.0,0.0,0.0,0.0,0.07999999999999999,0.07999999999999999,0.08,0.08
fc_taxi_gasoline_litre_km,fc_taxi_gasoline_litre_km_truth,direct,11,0.0,0.0,0.0,0.0,0.08999999999999998,0.08999999999999998,0.09,0.09
spd_met,spd_met_truth,direct,11,0.0,0.0,0.0,0.0,26.88793636363636,26.88793636363636,23.0777,23.0777
brt_share_of_bus,brt_share_of_bus_truth,direct,11,0.0,0.0,0.0,0.0,0.49272727272727274,0.49272727272727274,0.4,0.4
share_taxi_gasoline,share_taxi_gasoline_truth,direct,11,1.1102230246251565e-16,1.1102230246251565e-16,-1.1102230246251565e-16,1.1102230246251565e-13,0.1,0.09999999999999988,0.1,0.0999999999999999
trips_per_person_per_day,trips_per_person_per_day_truth,direct,11,0.01731818181818195,0.019908540880737704,-0.008845454545454722,0.8408780398149178,2.0588454545454544,2.0500000000000003,2.0767,2.05
travel_time_metro_hours,travel_time_metro_hours_truth,direct,11,0.005632921974471365,0.007620450372640828,-0.0007666362369604436,1.1897156152597221,0.5096934848484849,0.5089268486115244,0.5849799999999999,0.5849803056630427
trips_per_year,trips_per_year_truth,direct,11,98630391.68785225,116632658.42411613,-98630391.68785225,1.3842274971180095,6964863636.363636,6866233244.675784,7519000000.0,7294608793.904835
modal_share_taxi,modal_share_taxi_truth,direct,11,0.004183037808726905,0.005700047714189097,-0.0010878776950624365,2.081321968025997,0.19862543045454545,0.19753755275948298,0.198348772,0.1960809339812698
fuel_CNG_kg_year,fuel_CNG_kg_year_truth,direct,11,13301471.950964712,19217221.403071392,6028085.084271106,2.0933677046323727,613788616.6036363,619816701.6879075,581206956.48,575821094.2267865
modal_share_tax_r12,modal_share_tax_r12_truth,direct,11,0.006543767347730181,0.010205241502307883,-0.0056626099180705994,3.566544943846505,0.17236363636363639,0.16670102644556575,0.169,0.1707399787434023
trips_metro,trips_metro_truth,direct,11,24230320.220551204,32035186.00563294,-1037157.4588376012,3.612481463989295,661909090.9090909,660871933.4502534,738000000.0,722718233.481061
modal_share_car,modal_share_car_truth,direct,11,0.016354454235432362,0.02224717942819024,0.01035284405154142,3.6833702308019065,0.5021603677272727,0.5125132117788141,0.556786146,0.5544833602023279
fuel_gasoline_litre_year,fuel_gasoline_litre_year_truth,direct,11,158498751.29010904,237243948.72227642,135199731.05360422,3.8022933507017105,4473429840.0,4608629571.053604,6054386594.0,6031487061.150928
modal_share_motorcycle,modal_share_motorcycle_truth,direct,11,0.002359200772765535,0.00256967551158049,0.0019697257387516973,3.9179166371808316,0.06571155772727272,0.06768128346602444,0.072492952,0.0747759687485122
modal_share_metro,modal_share_metro_truth,direct,11,0.003727203307308055,0.004820240603805713,0.0017253959895029804,3.962308343565077,0.09528349700000001,0.09700889298950299,0.098670963,0.0994787944690957
modal_share_mot_r12,modal_share_mot_r12_truth,direct,11,0.011098636891835923,0.01426381268306701,-0.007805913593444902,5.365449444803092,0.20181818181818184,0.1940122682247369,0.198,0.1983174876654882
spd_mot,spd_mot_truth,direct,11,1.689150454410477,2.077511449205665,-0.3453917417031737,5.370143081174897,30.319345454545452,29.973953712842277,35.5345,33.27768857487274
travel_time_motorcycle_hours,travel_time_motorcycle_hours_truth,direct,11,0.026587562307614318,0.037397173618793966,0.0038855186281800554,5.6399770057054255,0.4498971212121212,0.45378263984030126,0.4138,0.4056772143181109
modal_share_car_r12,modal_share_car_r12_truth,direct,11,0.013576357049656288,0.01633899160650661,-0.010984035826751837,5.886378575520254,0.21736363636363637,0.2063796005368845,0.2,0.2126119857630489
concentration_PM25_ugm3,concentration_PM25_ugm3_truth,direct,11,1.7649969969515362,2.162963796629987,0.5412228197181292,6.085318568150284,29.843636363636367,30.384859183354493,26.2,31.18542403113996
spd_car,spd_car_truth,direct,11,1.9507329484613067,2.6627701740674583,-1.78100184858309,7.104184496290513,26.06011818181818,24.27911633323509,25.4944,24.018735719719565
modal_share_met_r12,modal_share_met_r12_truth,direct,11,0.01596286604985653,0.01661612243402342,0.009925028258055269,8.887125992874779,0.18536363636363634,0.19528866462169167,0.27,0.2517063498665917
concentration_NO2_ugm3,concentration_NO2_ugm3_truth,direct,11,7.801811241052931,9.988685931278544,4.032765476900513,8.898111553298987,91.34236363636364,95.37512911326415,91.462,108.14496310884756
spd_bus,spd_bus_truth,direct,11,1.9569615548236678,2.3797422174607084,-1.7369032104144118,8.944235505867795,21.03538181818182,19.298478607767404,20.3076,19.064061217270616
spd_tax,spd_tax_truth,direct,11,2.3992226926961013,3.333088596109912,-2.3909577882695223,9.021503105864499,24.842036363636364,22.451078575366843,23.4263,22.21030269484037
trips_bus_total,trips_bus_total_truth,direct,11,90384657.73249078,142242254.3333965,-80305085.58505526,10.31147256187717,650694090.9090909,570389005.3240356,291740000.0,293181578.6611381
modal_share_bus,modal_share_bus_truth,direct,11,0.012905353443795543,0.020308153438090604,-0.010389759731490712,10.577452241031683,0.09589059663636362,0.08550083690487292,0.039267016,0.0409458672008389
