draw,scenario,geo,metric,mean_2024_2030,value_2030,base_mean,base_2030,delta_mean_pct,delta_2030_pct
0,SC0,Region 12,CO₂ emissions,220612.6089674279,224348.4721917896,220612.6089674279,224348.4721917896,0.0,0.0
0,SC0,Region 12,Congestion index,1.243978476102981,1.2728949680805757,1.243978476102981,1.2728949680805757,0.0,0.0
0,SC0,Region 12,Electricity use,81682812.30736423,84582559.45306545,81682812.30736423,84582559.45306545,0.0,0.0
0,SC0,Region 12,Final energy,2981246241.5148897,3025393496.506492,2981246241.5148897,3025393496.506492,0.0,0.0
0,SC0,Region 12,Health indicator,384302022550388.8,392221230776026.06,384302022550388.8,392221230776026.06,0.0,0.0
0,SC0,Region 12,Modal share: car,0.1901941686534329,0.1879505596876787,0.1901941686534329,0.1879505596876787,0.0,0.0
0,SC0,Region 12,Modal share: public transport,0.3724819199460958,0.3727505038296986,0.3724819199460958,0.3727505038296986,0.0,0.0
0,SC0,Region 12,NOₓ emissions,841.4182545004336,855.7299647393935,841.4182545004336,855.7299647393935,0.0,0.0
0,SC0,Region 12,PM₂.₅ emissions,28.67736416341227,29.452153241716136,28.67736416341227,29.452153241716136,0.0,0.0
0,SC0,Region 12,Time loss (car),58460484.09753299,61434594.30406548,58460484.09753299,61434594.30406548,0.0,0.0
0,SC0,Region 12,PCE-weighted VKT,935270675.2532316,953301815.0236548,935270675.2532316,953301815.0236548,0.0,0.0
0,SC0,Tehran,CO₂ emissions,17096007.6721196,17722312.357730612,17096007.6721196,17722312.357730612,0.0,0.0
0,SC0,Tehran,Congestion index,0.408019484941264,0.4175039675023832,0.408019484941264,0.4175039675023832,0.0,0.0
0,SC0,Tehran,Electricity use,884842811.6666203,1054349026.0625808,884842811.6666203,1054349026.0625808,0.0,0.0
0,SC0,Tehran,Final energy,254843722466.1595,263570939890.9256,254843722466.1595,263570939890.9256,0.0,0.0
0,SC0,Tehran,Health indicator,1.2155252172878236e+16,1.2795861070012928e+16,1.2155252172878236e+16,1.2795861070012928e+16,0.0,0.0
0,SC0,Tehran,Modal share: car,0.5817412048880106,0.5811209900774272,0.5817412048880106,0.5811209900774272,0.0,0.0
0,SC0,Tehran,Modal share: public transport,0.1031646492904233,0.103886516929721,0.1031646492904233,0.103886516929721,0.0,0.0
0,SC0,Tehran,NOₓ emissions,65324.36988224275,67522.18533836934,65324.36988224275,67522.18533836934,0.0,0.0
0,SC0,Tehran,PM₂.₅ emissions,1155.679954631423,1199.766584376915,1155.679954631423,1199.766584376915,0.0,0.0
0,SC0,Tehran,Time loss (car),951841374.0675474,1019167835.850917,951841374.0675474,1019167835.850917,0.0,0.0
0,SC0,Tehran,PCE-weighted VKT,72969335680.97835,75867908912.25446,72969335680.97835,75867908912.25446,0.0,0.0
0,SC0,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032,63.87869652292867,142.92185698706032,0.0,0.0
0,SC0,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028,29.51624016041301,60.18207770689028,0.0,0.0
0,SC0,Tehran,STOCK::cost_index_bus_fare,84.36487247380374,169.56239313950334,84.36487247380374,169.56239313950334,0.0,0.0
0,SC0,Tehran,STOCK::cost_index_metro_fare,45.68752260248281,85.07059173023467,45.68752260248281,85.07059173023467,0.0,0.0
0,SC0,Tehran,STOCK::len_bik,941.660883050843,1278.6481875338736,941.660883050843,1278.6481875338736,0.0,0.0
0,SC0,Tehran,STOCK::len_brt,145.8321428571453,133.6500000000051,145.8321428571453,133.6500000000051,0.0,0.0
0,SC0,Tehran,STOCK::len_hwy,2678.5357142857,2865.749999999971,2678.5357142857,2865.749999999971,0.0,0.0
0,SC0,Tehran,STOCK::len_met,320.3214285714312,353.5,320.3214285714312,353.5,0.0,0.0
0,SC0,Tehran,STOCK::population_city,10225573.925676277,10593079.987233248,10225573.925676277,10593079.987233248,0.0,0.0
0,SC0,Tehran,STOCK::private_cars_total,4192415.099736402,4343924.107633086,4192415.099736402,4343924.107633086,0.0,0.0
0,SC0,Tehran,STOCK::taxis_total,78784.0,78784.0,78784.0,78784.0,0.0,0.0
0,SC0,Tehran,STOCK::metro_cars_total,1181.0,1181.0,1181.0,1181.0,0.0,0.0
0,SC0,Tehran,STOCK::brts_total,942.0,942.0,942.0,942.0,0.0,0.0
0,SC0,Tehran,STOCK::buses_total,2047.0,2047.0,2047.0,2047.0,0.0,0.0
0,SC0,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354,325417.6086656498,337177.8227351354,0.0,0.0
0,SC0,Tehran,STOCK::transport_financial_balance_IRR,-4136112326239984.0,-8193812127383878.0,-4136112326239984.0,-8193812127383878.0,0.0,0.0
0,SC10,Region 12,CO₂ emissions,215571.15272593865,216869.9287642911,220612.6089674279,224348.4721917896,-2.2852076611058902,-3.333449679615058
0,SC10,Region 12,Congestion index,1.1791928231066406,1.1832366041324869,1.243978476102981,1.2728949680805757,-5.207940027973381,-7.0436576619739855
0,SC10,Region 12,Electricity use,94384357.81821457,99288750.33172973,81682812.30736423,84582559.45306545,15.549838640540068,17.386788687595438
0,SC10,Region 12,Final energy,2837312465.7977786,2831332191.061262,2981246241.5148897,3025393496.506492,-4.827973406315228,-6.414415370077252
0,SC10,Region 12,Health indicator,363267089648217.1,358622928518187.5,384302022550388.8,392221230776026.06,-5.473542075728638,-8.566161039106149
0,SC10,Region 12,Modal share: car,0.1790029697273628,0.1756319584220071,0.1901941686534329,0.1879505596876787,-5.884091507801389,-6.554171100177451
