draw,scenario,geo,metric,mean_2024_2030,value_2030,block_label,base_mean,base_2030,delta_mean_pct,delta_2030_pct
0,SC0,Region 12,CO₂ emissions,244598.65306759207,249565.28807986405,empirical_2019,244598.65306759207,249565.28807986405,0.0,0.0
0,SC0,Region 12,Congestion index,1.2682159676549936,1.2979571423501384,empirical_2019,1.2682159676549936,1.2979571423501384,0.0,0.0
0,SC0,Region 12,Electricity use,69355281.96138653,70954557.94607729,empirical_2019,69355281.96138653,70954557.94607729,0.0,0.0
0,SC0,Region 12,Final energy,3403406806.897424,3472485147.599828,empirical_2019,3403406806.897424,3472485147.599828,0.0,0.0
0,SC0,Region 12,Health indicator,399924440792421.5,408693894463221.0,empirical_2019,399924440792421.5,408693894463221.0,0.0,0.0
0,SC0,Region 12,Modal share: car,0.2371294718019242,0.236216945746793,empirical_2019,0.2371294718019242,0.236216945746793,0.0,0.0
0,SC0,Region 12,Modal share: public transport,0.2915886714556079,0.2873470223963149,empirical_2019,0.2915886714556079,0.2873470223963149,0.0,0.0
0,SC0,Region 12,NOₓ emissions,946.1801711446458,967.621970415796,empirical_2019,946.1801711446458,967.621970415796,0.0,0.0
0,SC0,Region 12,PM₂.₅ emissions,30.27556165019592,31.215195602087363,empirical_2019,30.27556165019592,31.215195602087363,0.0,0.0
0,SC0,Region 12,Time loss (car),75141789.10748918,79599577.32865402,empirical_2019,75141789.10748918,79599577.32865402,0.0,0.0
0,SC0,Region 12,PCE-weighted VKT,1079226941.0345504,1108206060.9850628,empirical_2019,1079226941.0345504,1108206060.9850628,0.0,0.0
0,SC0,Tehran,CO₂ emissions,17868071.732416816,18526333.024567094,empirical_2019,17868071.732416816,18526333.024567094,0.0,0.0
0,SC0,Tehran,Congestion index,0.4159692758816193,0.4257242507576128,empirical_2019,0.4159692758816193,0.4257242507576128,0.0,0.0
0,SC0,Tehran,Electricity use,1233581606.6162164,1425681428.4134502,empirical_2019,1233581606.6162164,1425681428.4134502,0.0,0.0
0,SC0,Tehran,Final energy,264117963302.70752,273194586613.76468,empirical_2019,264117963302.70752,273194586613.76468,0.0,0.0
0,SC0,Tehran,Health indicator,1.236703802365455e+16,1.30187475104318e+16,empirical_2019,1.236703802365455e+16,1.30187475104318e+16,0.0,0.0
0,SC0,Tehran,Modal share: car,0.6140424848077897,0.6133481258593331,empirical_2019,0.6140424848077897,0.6133481258593331,0.0,0.0
0,SC0,Tehran,Modal share: public transport,0.107333195579489,0.108247012796572,empirical_2019,0.107333195579489,0.108247012796572,0.0,0.0
0,SC0,Tehran,NOₓ emissions,67660.9463661113,69943.46449885964,empirical_2019,67660.9463661113,69943.46449885964,0.0,0.0
0,SC0,Tehran,PM₂.₅ emissions,1210.9674972921532,1257.318554448197,empirical_2019,1210.9674972921532,1257.318554448197,0.0,0.0
0,SC0,Tehran,Time loss (car),1029212930.8275362,1102622496.8845994,empirical_2019,1029212930.8275362,1102622496.8845994,0.0,0.0
0,SC0,Tehran,PCE-weighted VKT,74391163353.44528,77361680827.6965,empirical_2019,74391163353.44528,77361680827.6965,0.0,0.0
0,SC0,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032,empirical_2019,63.87869652292867,142.92185698706032,0.0,0.0
0,SC0,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028,empirical_2019,29.51624016041301,60.18207770689028,0.0,0.0
0,SC0,Tehran,STOCK::cost_index_bus_fare,84.36487247380374,169.56239313950334,empirical_2019,84.36487247380374,169.56239313950334,0.0,0.0
0,SC0,Tehran,STOCK::cost_index_metro_fare,45.68752260248281,85.07059173023467,empirical_2019,45.68752260248281,85.07059173023467,0.0,0.0
0,SC0,Tehran,STOCK::len_bik,941.660883050843,1278.6481875338736,empirical_2019,941.660883050843,1278.6481875338736,0.0,0.0
0,SC0,Tehran,STOCK::len_brt,145.8321428571453,133.6500000000051,empirical_2019,145.8321428571453,133.6500000000051,0.0,0.0
0,SC0,Tehran,STOCK::len_hwy,2678.5357142857,2865.749999999971,empirical_2019,2678.5357142857,2865.749999999971,0.0,0.0
0,SC0,Tehran,STOCK::len_met,320.3214285714312,353.5,empirical_2019,320.3214285714312,353.5,0.0,0.0
0,SC0,Tehran,STOCK::population_city,10215260.873701943,10580524.56232596,empirical_2019,10215260.873701943,10580524.56232596,0.0,0.0
0,SC0,Tehran,STOCK::private_cars_total,4192415.099736402,4343924.107633086,empirical_2019,4192415.099736402,4343924.107633086,0.0,0.0
0,SC0,Tehran,STOCK::taxis_total,78784.0,78784.0,empirical_2019,78784.0,78784.0,0.0,0.0
0,SC0,Tehran,STOCK::metro_cars_total,1181.0,1181.0,empirical_2019,1181.0,1181.0,0.0,0.0
0,SC0,Tehran,STOCK::brts_total,942.0,942.0,empirical_2019,942.0,942.0,0.0,0.0
0,SC0,Tehran,STOCK::buses_total,2047.0,2047.0,empirical_2019,2047.0,2047.0,0.0,0.0
0,SC0,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354,empirical_2019,325417.6086656498,337177.8227351354,0.0,0.0
0,SC0,Tehran,STOCK::transport_financial_balance_IRR,-3716162955967016.0,-7331800316402914.0,empirical_2019,-3716162955967016.0,-7331800316402914.0,0.0,0.0
0,SC10,Region 12,CO₂ emissions,239487.82022328343,241774.82180911332,empirical_2019,244598.65306759207,249565.28807986405,-2.089477100634857,-3.121614520468752
0,SC10,Region 12,Congestion index,1.2086449763042713,1.217330007262178,empirical_2019,1.2682159676549936,1.2979571423501384,-4.697227670210824,-6.2118487935567215
0,SC10,Region 12,Electricity use,81238929.79362205,84644258.3134992,empirical_2019,69355281.96138653,70954557.94607729,17.134452483160146,19.293616595885997
0,SC10,Region 12,Final energy,3263078165.823922,3279124364.4331994,empirical_2019,3403406806.897424,3472485147.599828,-4.123181536485992,-5.568368904335812
0,SC10,Region 12,Health indicator,380514005251772.2,377815683428237.4,empirical_2019,399924440792421.5,408693894463221.0,-4.853525706553201,-7.555339449232316
0,SC10,Region 12,Modal share: car,0.225296796710925,0.2229231788528011,empirical_2019,0.2371294718019242,0.236216945746793,-4.989963921854094,-5.627778672679064
0,SC10,Region 12,Modal share: public transport,0.3298015609779284,0.3278602626392302,empirical_2019,0.2915886714556079,0.2873470223963149,13.105066575996284,14.099063879297354
0,SC10,Region 12,NOₓ emissions,847.5556465875553,806.2385269174981,empirical_2019,946.1801711446458,967.621970415796,-10.423440224685642,-16.678356675691223
0,SC10,Region 12,PM₂.₅ emissions,24.466937169019225,21.768884554471864,empirical_2019,30.27556165019592,31.215195602087363,-19.185852101736675,-30.26189926224208
0,SC10,Region 12,Time loss (car),66220248.58865803,67981590.92221753,empirical_2019,75141789.10748918,79599577.32865402,-11.872941308422972,-14.59553781104599
0,SC10,Region 12,PCE-weighted VKT,1033122545.5011876,1056996490.6274714,empirical_2019,1079226941.0345504,1108206060.9850628,-4.271983378136117,-4.620942996113214
0,SC10,Tehran,CO₂ emissions,17071000.545625422,17371534.384853024,empirical_2019,17868071.732416816,18526333.024567094,-4.460868518595223,-6.23328231324965
0,SC10,Tehran,Congestion index,0.3964302519553324,0.3992789040230476,empirical_2019,0.4159692758816193,0.4257242507576128,-4.6972276702108005,-6.211848793556722
0,SC10,Tehran,Electricity use,1639180531.1236742,1929729965.8536608,empirical_2019,1233581606.6162164,1425681428.4134502,32.8797804970551,35.35492062915724
0,SC10,Tehran,Final energy,250137666425.2576,253236467278.0902,empirical_2019,264117963302.70752,273194586613.76468,-5.29320183399529,-7.305459300293799
0,SC10,Tehran,Health indicator,1.1933002797180156e+16,1.2339017931677824e+16,empirical_2019,1.236703802365455e+16,1.30187475104318e+16,-3.509613422746908,-5.221159548637956
0,SC10,Tehran,Modal share: car,0.5691303586347013,0.5615819458082031,empirical_2019,0.6140424848077897,0.6133481258593331,-7.314172436642877,-8.439934495373706
0,SC10,Tehran,Modal share: public transport,0.1525863885757724,0.1589824607815373,empirical_2019,0.107333195579489,0.108247012796572,42.16141404526589,46.87006751891817
0,SC10,Tehran,NOₓ emissions,63162.14718519541,63091.95803152333,empirical_2019,67660.9463661113,69943.46449885964,-6.649033781722504,-9.79577794212355
0,SC10,Tehran,PM₂.₅ emissions,1104.1643392091794,1080.964361597324,empirical_2019,1210.9674972921532,1257.318554448197,-8.819655219631953,-14.026214138569689
0,SC10,Tehran,Time loss (car),907031482.9907207,932484307.1117092,empirical_2019,1029212930.8275362,1102622496.8845994,-11.871347918119897,-15.430320917050624
0,SC10,Tehran,PCE-weighted VKT,70889062923.2214,72556090190.52603,empirical_2019,74391163353.44528,77361680827.6965,-4.707683375759016,-6.211848793556728
0,SC10,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032,empirical_2019,63.87869652292867,142.92185698706032,0.0,0.0
0,SC10,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028,empirical_2019,29.51624016041301,60.18207770689028,0.0,0.0
0,SC10,Tehran,STOCK::cost_index_bus_fare,60.26793001761512,106.36159228555996,empirical_2019,84.36487247380374,169.56239313950334,-28.562767594618244,-37.272887981680256
0,SC10,Tehran,STOCK::cost_index_metro_fare,35.161126476087375,58.82076106461197,empirical_2019,45.68752260248281,85.07059173023467,-23.03998012320194,-30.856527657481102
0,SC10,Tehran,STOCK::len_bik,941.660883050843,1278.6481875338736,empirical_2019,941.660883050843,1278.6481875338736,0.0,0.0
0,SC10,Tehran,STOCK::len_brt,154.26881632653323,147.0150000000056,empirical_2019,145.8321428571453,133.6500000000051,5.785194747945485,10.000000000000009
0,SC10,Tehran,STOCK::len_hwy,2678.5357142857,2865.749999999971,empirical_2019,2678.5357142857,2865.749999999971,0.0,0.0
0,SC10,Tehran,STOCK::len_met,329.4582482993224,371.175,empirical_2019,320.3214285714312,353.5,2.852391040037361,5.000000000000004
0,SC10,Tehran,STOCK::population_city,10218534.426629076,10588300.514564997,empirical_2019,10215260.873701943,10580524.56232596,0.0320457105071109,0.0734930692068365
0,SC10,Tehran,STOCK::private_cars_total,4192415.099736402,4343924.107633086,empirical_2019,4192415.099736402,4343924.107633086,0.0,0.0
0,SC10,Tehran,STOCK::taxis_total,78784.0,78784.0,empirical_2019,78784.0,78784.0,0.0,0.0
0,SC10,Tehran,STOCK::metro_cars_total,1182.2600000000002,1184.36,empirical_2019,1181.0,1181.0,0.1066892464013732,0.2845046570702709
0,SC10,Tehran,STOCK::brts_total,963.0217687074846,999.0376190476236,empirical_2019,942.0,942.0,2.231610266187328,6.054948943484458
0,SC10,Tehran,STOCK::buses_total,2107.78877551022,2206.368571428616,empirical_2019,2047.0,2047.0,2.969651954578415,7.785470025823924
0,SC10,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354,empirical_2019,325417.6086656498,337177.8227351354,0.0,0.0
0,SC10,Tehran,STOCK::transport_financial_balance_IRR,-4176075763572977.0,-8604723884188963.0,empirical_2019,-3716162955967016.0,-7331800316402914.0,-12.376012921270911,-17.361678071594884
0,SC11,Region 12,CO₂ emissions,239436.6033885142,238836.52677211075,empirical_2019,244598.65306759207,249565.28807986405,-2.110416232607543,-4.298979794145074
0,SC11,Region 12,Congestion index,1.1989873359800935,1.1838679825738283,empirical_2019,1.2682159676549936,1.2979571423501384,-5.458741526721813,-8.78990192000756
0,SC11,Region 12,Electricity use,77474826.07981767,82529771.1981302,empirical_2019,69355281.96138653,70954557.94607729,11.70717483774586,16.313558405718812
