draw,scenario,geo,metric,mean_2024_2030,value_2030,block_label
0,SC10,Tehran,STOCK::brts_total,963.0217687074846,999.0376190476236,empirical_2019
0,SC10,Tehran,STOCK::buses_total,2107.78877551022,2206.368571428616,empirical_2019
0,SC10,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354,empirical_2019
0,SC10,Tehran,STOCK::transport_financial_balance_IRR,-4176075763572977.0,-8604723884188963.0,empirical_2019
0,SC11,Region 12,CO₂ emissions,239436.6033885142,238836.52677211075,empirical_2019
0,SC11,Region 12,Congestion index,1.1989873359800935,1.1838679825738283,empirical_2019
0,SC11,Region 12,Electricity use,77474826.07981767,82529771.1981302,empirical_2019
0,SC11,Region 12,Final energy,3281038834.554836,3245523990.142038,empirical_2019
0,SC11,Region 12,Health indicator,381841524781231.8,376435427250978.2,empirical_2019
0,SC11,Region 12,Modal share: car,0.2247858418969959,0.2143268019881696,empirical_2019
0,SC11,Region 12,Modal share: public transport,0.3169035030536105,0.3212228698627251,empirical_2019
0,SC11,Region 12,NOₓ emissions,868.3264189185044,825.6142960960576,empirical_2019
0,SC11,Region 12,PM₂.₅ emissions,25.932607044145023,23.9835982405174,empirical_2019
0,SC11,Region 12,Time loss (car),65253585.0704726,62604215.08868189,empirical_2019
0,SC11,Region 12,PCE-weighted VKT,1036764851.7216084,1035214466.4728432,empirical_2019
0,SC11,Tehran,CO₂ emissions,16852254.311609942,16795909.558927387,empirical_2019
0,SC11,Tehran,Congestion index,0.3932625882806654,0.3883035066663315,empirical_2019
0,SC11,Tehran,Electricity use,1546906874.0377376,1860509619.976306,empirical_2019
0,SC11,Tehran,Final energy,247300892840.4341,244931988083.1314,empirical_2019
0,SC11,Tehran,Health indicator,1.1898757474530676e+16,1.220379476249114e+16,empirical_2019
0,SC11,Tehran,Modal share: car,0.5681254921373496,0.5513036196981079,empirical_2019
0,SC11,Tehran,Modal share: public transport,0.146471974316602,0.1583152226027475,empirical_2019
0,SC11,Tehran,NOₓ emissions,62713.42429296343,61479.15627402071,empirical_2019
0,SC11,Tehran,PM₂.₅ emissions,1109.9288573536974,1081.5739692483528,empirical_2019
0,SC11,Tehran,Time loss (car),887135069.8282965,866964755.596113,empirical_2019
0,SC11,Tehran,PCE-weighted VKT,70324808520.04778,70568777148.76501,empirical_2019
0,SC11,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032,empirical_2019
0,SC11,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028,empirical_2019
0,SC11,Tehran,STOCK::cost_index_bus_fare,73.20148381975896,138.2037519536843,empirical_2019
0,SC11,Tehran,STOCK::cost_index_metro_fare,45.68752260248281,85.07059173023467,empirical_2019
0,SC11,Tehran,STOCK::len_bik,942.1264620910188,1279.6121453740336,empirical_2019
0,SC11,Tehran,STOCK::len_brt,154.26881632653323,147.0150000000056,empirical_2019
0,SC11,Tehran,STOCK::len_hwy,2678.5357142857,2865.749999999971,empirical_2019
