draw,scenario,geo,metric,mean_2024_2030,value_2030
0,SC0,Region 12,CO₂ emissions,220612.6089674279,224348.4721917896
0,SC0,Region 12,Congestion index,1.243978476102981,1.2728949680805757
0,SC0,Region 12,Electricity use,81682812.30736423,84582559.45306545
0,SC0,Region 12,Final energy,2981246241.5148897,3025393496.506492
0,SC0,Region 12,Health indicator,384302022550388.8,392221230776026.06
0,SC0,Region 12,Modal share: car,0.1901941686534329,0.1879505596876787
0,SC0,Region 12,Modal share: public transport,0.3724819199460958,0.3727505038296986
0,SC0,Region 12,NOₓ emissions,841.4182545004336,855.7299647393935
0,SC0,Region 12,PM₂.₅ emissions,28.67736416341227,29.452153241716136
0,SC0,Region 12,Time loss (car),58460484.09753299,61434594.30406548
0,SC0,Region 12,PCE-weighted VKT,935270675.2532316,953301815.0236548
0,SC0,Tehran,CO₂ emissions,17096007.6721196,17722312.357730612
0,SC0,Tehran,Congestion index,0.408019484941264,0.4175039675023832
0,SC0,Tehran,Electricity use,884842811.6666203,1054349026.0625808
0,SC0,Tehran,Final energy,254843722466.1595,263570939890.9256
0,SC0,Tehran,Health indicator,1.2155252172878236e+16,1.2795861070012928e+16
0,SC0,Tehran,Modal share: car,0.5817412048880106,0.5811209900774272
0,SC0,Tehran,Modal share: public transport,0.1031646492904233,0.103886516929721
0,SC0,Tehran,NOₓ emissions,65324.36988224275,67522.18533836934
0,SC0,Tehran,PM₂.₅ emissions,1155.679954631423,1199.766584376915
0,SC0,Tehran,Time loss (car),951841374.0675474,1019167835.850917
0,SC0,Tehran,PCE-weighted VKT,72969335680.97835,75867908912.25446
0,SC0,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032
0,SC0,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028
0,SC0,Tehran,STOCK::cost_index_bus_fare,84.36487247380374,169.56239313950334
0,SC0,Tehran,STOCK::cost_index_metro_fare,45.68752260248281,85.07059173023467
0,SC0,Tehran,STOCK::len_bik,941.660883050843,1278.6481875338736
0,SC0,Tehran,STOCK::len_brt,145.8321428571453,133.6500000000051
0,SC0,Tehran,STOCK::len_hwy,2678.5357142857,2865.749999999971
0,SC0,Tehran,STOCK::len_met,320.3214285714312,353.5
0,SC0,Tehran,STOCK::population_city,10225573.925676277,10593079.987233248
0,SC0,Tehran,STOCK::private_cars_total,4192415.099736402,4343924.107633086
0,SC0,Tehran,STOCK::taxis_total,78784.0,78784.0
0,SC0,Tehran,STOCK::metro_cars_total,1181.0,1181.0
0,SC0,Tehran,STOCK::brts_total,942.0,942.0
0,SC0,Tehran,STOCK::buses_total,2047.0,2047.0
0,SC0,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354
0,SC0,Tehran,STOCK::transport_financial_balance_IRR,-4136112326239984.0,-8193812127383878.0
0,SC10,Region 12,CO₂ emissions,215571.15272593865,216869.9287642911
0,SC10,Region 12,Congestion index,1.1791928231066406,1.1832366041324869
0,SC10,Region 12,Electricity use,94384357.81821457,99288750.33172973
0,SC10,Region 12,Final energy,2837312465.7977786,2831332191.061262
0,SC10,Region 12,Health indicator,363267089648217.1,358622928518187.5
0,SC10,Region 12,Modal share: car,0.1790029697273628,0.1756319584220071
0,SC10,Region 12,Modal share: public transport,0.416548434799586,0.4204896938834536
0,SC10,Region 12,NOₓ emissions,743.6656820663487,697.9809721189944
0,SC10,Region 12,PM₂.₅ emissions,23.0316310814441,20.388660518393
0,SC10,Region 12,Time loss (car),50642711.76661228,51259383.55171888
0,SC10,Region 12,PCE-weighted VKT,884442776.3010237,896892851.6083466
0,SC10,Tehran,CO₂ emissions,16147399.48016654,16340427.372123666
0,SC10,Tehran,Congestion index,0.3867700748630772,0.3880964173063562
0,SC10,Tehran,Electricity use,1192261458.3309605,1465404792.5854492
0,SC10,Tehran,Final energy,238958405620.6177,240497724326.05933
0,SC10,Tehran,Health indicator,1.1681063103065894e+16,1.20391107044811e+16
0,SC10,Tehran,Modal share: car,0.5323115390982258,0.5235426705270992
0,SC10,Tehran,Modal share: public transport,0.155457602646075,0.1635276715532561
0,SC10,Tehran,NOₓ emissions,60425.55854315142,59902.48020907113
0,SC10,Tehran,PM₂.₅ emissions,1045.820521326854,1016.5597104822788
0,SC10,Tehran,Time loss (car),824582521.165901,838759272.792674
0,SC10,Tehran,PCE-weighted VKT,69159877276.3912,70524033133.177
0,SC10,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032
0,SC10,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028
0,SC10,Tehran,STOCK::cost_index_bus_fare,60.26793001761512,106.36159228555996
0,SC10,Tehran,STOCK::cost_index_metro_fare,35.161126476087375,58.82076106461197
0,SC10,Tehran,STOCK::len_bik,941.660883050843,1278.6481875338736
0,SC10,Tehran,STOCK::len_brt,154.26881632653323,147.0150000000056
0,SC10,Tehran,STOCK::len_hwy,2678.5357142857,2865.749999999971
0,SC10,Tehran,STOCK::len_met,329.4582482993224,371.175
0,SC10,Tehran,STOCK::population_city,10229092.689482728,10601565.044835074
0,SC10,Tehran,STOCK::private_cars_total,4192415.099736402,4343924.107633086
0,SC10,Tehran,STOCK::taxis_total,78784.0,78784.0
0,SC10,Tehran,STOCK::metro_cars_total,1182.2600000000002,1184.36
0,SC10,Tehran,STOCK::brts_total,963.0217687074846,999.0376190476236
0,SC10,Tehran,STOCK::buses_total,2107.78877551022,2206.368571428616
0,SC10,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354
