kpi,Geo,delta_mode
Time loss (car),Region 12,percent
Time loss (car),Tehran,percent
Modal share: public transport,Region 12,percent
Modal share: public transport,Tehran,percent
PCE-weighted VKT,Region 12,percent
PCE-weighted VKT,Tehran,percent
CO₂ emissions,Region 12,percent
CO₂ emissions,Tehran,percent
NOₓ emissions,Region 12,percent
NOₓ emissions,Tehran,percent
PM₂.₅ emissions,Region 12,percent
PM₂.₅ emissions,Tehran,percent
Health indicator,Region 12,percent
Health indicator,Tehran,percent
PT affordability ratio,Region 12,percent
PT affordability ratio,Tehran,percent
Noise exposure index,Region 12,percent
Noise exposure index,Tehran,percent
PT OPEX,Region 12,percent
PT OPEX,Tehran,percent
Net recurrent public burden,Region 12,percent
Net recurrent public burden,Tehran,percent
Energy cost,Region 12,percent
Energy cost,Tehran,percent
