district_mobile_EF_multiplier,SC0_mean_PM25_t_year,SC6_mean_PM25_t_year,delta_mean_pct,delta_2030_pct
0.5,16.3312904524819,13.267835587420302,-18.758192281100705,-31.557863566811335
0.75,22.692670391913648,18.11342949788004,-20.17938310012815,-33.96491116421117
1.0,29.054050331345394,22.959023408339785,-20.978234888062744,-35.31633387112057
1.25,35.415430270777144,27.804617318799522,-21.490104436928565,-36.18167021402679
1.5,41.77681021020889,32.65021122925926,-21.8460886195648,-36.78320147995491
