assumed_non_diesel_or_zero_tailpipe_share,SC0_diesel_MJ_year,SC5_diesel_MJ_year,SC5_vs_SC0_pct
0.0,1103410886.141622,1778608736.326544,61.19187862519064
0.1,993069797.52746,1600747862.6938899,61.19187862519064
0.2,882728708.9132978,1422886989.0612352,61.19187862519062
0.3,772387620.2991354,1245026115.4285808,61.19187862519064
0.4,662046531.6849731,1067165241.7959263,61.19187862519067
