component,SC0_mean_t_year,SC6_mean_t_year,absolute_change_t_year,relative_change_pct,share_of_absolute_reduction_pct
car,7.191498868604024,7.143344209198827,-0.048154659405197364,-0.6696053254687473,0.7900647530109856
bus,1.459730101574273,1.2752675683441947,-0.18446253323007822,-12.636756139449423,3.02644328827862
taxi,1.625875285150887,1.3885950384038315,-0.2372802467470556,-14.594000469417011,3.8930139233912806
motorcycle,15.168415502397806,9.575168825892106,-5.5932466765057,-36.87429761942851,91.76738260817278
grid,3.6085305736184057,3.5766477665008236,-0.03188280711758207,-0.8835398915745363,0.5230954271463636
total,29.054050331345397,22.959023408339785,-6.095026923005612,-20.97823488806275,100.0
