scenario,geo,group,kpi,unit,value_2030
SC8,Tehran,secondary,Public transport trips,trips/year,1321403881.749201
SC8,Region12,main,Time loss (car),hours/year,52649768.64954179
SC8,Tehran,main,Time loss (car),hours/year,741934027.0290356
SC8,Region12,secondary,Trips total (effective),trips/year,305622679.6808437
SC8,Tehran,secondary,Trips total (effective),trips/year,7638533773.133741
SC8,Region12,main,PCE-weighted VKT,PCE-km/year,941984272.0789826
SC8,Tehran,main,PCE-weighted VKT,PCE-km/year,66954099658.40975
SC9,Region12,main,CO₂ emissions,t/year,224105.41621697543
SC9,Tehran,main,CO₂ emissions,t/year,16088147.975392262
SC9,Region12,main,Climate cost,IRR/year,3361581243254.632
SC9,Tehran,main,Climate cost,IRR/year,241322219630884.0
SC9,Region12,main,Congestion index,–,1.146399326474686
SC9,Tehran,main,Congestion index,–,0.3760139517771617
SC9,Region12,main,Electricity use,kWh/year,82312910.81659542
SC9,Tehran,main,Electricity use,kWh/year,1761075878.8419323
SC9,Region12,secondary,Energy: CNG,MJ/year,460020931.35251284
SC9,Tehran,secondary,Energy: CNG,MJ/year,30143699103.669804
SC9,Region12,secondary,Energy: diesel,MJ/year,93791517.17001471
SC9,Tehran,secondary,Energy: diesel,MJ/year,2158711326.1170073
SC9,Region12,secondary,Energy: gasoline,MJ/year,2176662910.7430773
SC9,Tehran,secondary,Energy: gasoline,MJ/year,197083397680.51157
SC9,Region12,main,Final energy,MJ/year,3026801838.2053485
SC9,Tehran,main,Final energy,MJ/year,235725681274.12933
SC9,Region12,main,Health indicator,IRR/year,371501204209968.56
SC9,Tehran,main,Health indicator,IRR/year,1.2085060776618922e+16
SC9,Region12,main,Modal share: car,–,0.1891827257849623
SC9,Tehran,main,Modal share: car,–,0.4965577317566184
SC9,Region12,main,Modal share: public transport,–,0.3848635117136266
SC9,Tehran,main,Modal share: public transport,–,0.18563650848405172
SC9,Region12,secondary,Municipal budget,IRR/year,44970517380498.805
SC9,Tehran,secondary,Municipal budget,IRR/year,5692470554493519.0
SC9,Region12,main,NOₓ emissions,t/year,819.0638440400228
SC9,Tehran,main,NOₓ emissions,t/year,59793.079396960835
SC9,Region12,secondary,Non-public transport trips,trips/year,195324324.07225493
SC9,Tehran,secondary,Non-public transport trips,trips/year,6461482949.931068
SC9,Region12,main,PM₂.₅ emissions,t/year,26.08915921813106
SC9,Tehran,main,PM₂.₅ emissions,t/year,1092.7520728245102
SC9,Region12,secondary,Population,persons,249861.9999999996
SC9,Tehran,secondary,Population,persons,10603938.040634794
SC9,Region12,secondary,Public transport trips,trips/year,122205732.73901126
SC9,Tehran,secondary,Public transport trips,trips/year,1472913688.9739165
SC9,Region12,main,Time loss (car),hours/year,52592686.86839437
SC9,Tehran,main,Time loss (car),hours/year,773016178.220446
SC9,Region12,secondary,Trips total (effective),trips/year,317530056.8112662
SC9,Tehran,secondary,Trips total (effective),trips/year,7934396638.904984
SC9,Region12,main,PCE-weighted VKT,PCE-km/year,967742499.948299
SC9,Tehran,main,PCE-weighted VKT,PCE-km/year,68339029420.22183
