scenario,geo,group,kpi,unit,mean_2024_2030
SC8,Tehran,secondary,Energy: diesel,MJ/year,1995200031.8208408
SC8,Tehran,secondary,Energy: gasoline,MJ/year,196766533380.7244
SC8,Tehran,secondary,Municipal budget,IRR/year,3226958546677714.5
SC8,Tehran,secondary,Non-public transport trips,trips/year,6266592352.725207
SC8,Tehran,secondary,Population,persons,10232397.256718302
SC8,Tehran,secondary,Public transport trips,trips/year,1237002851.8162808
SC8,Tehran,secondary,Trips total (effective),trips/year,7503595204.541489
SC9,Region12,main,CO₂ emissions,t/year,224420.185260393
SC9,Region12,main,Climate cost,IRR/year,3366302778905.895
SC9,Region12,main,Congestion index,–,1.150855322364439
SC9,Region12,main,Electricity use,kWh/year,80113127.3135701
SC9,Region12,main,Final energy,MJ/year,3040696880.653749
SC9,Region12,main,Health indicator,IRR/year,372271427055095.0
SC9,Region12,main,Modal share: car,–,0.1986560571763263
SC9,Region12,main,Modal share: public transport,–,0.380946761510035
SC9,Region12,main,NOₓ emissions,t/year,835.8132358014291
SC9,Region12,main,PM₂.₅ emissions,t/year,26.581121426824584
SC9,Region12,main,Time loss (car),hours/year,54136156.161136664
SC9,Region12,main,PCE-weighted VKT,PCE-km/year,958839396.4811363
SC9,Region12,secondary,Energy: CNG,MJ/year,454860030.47440463
SC9,Region12,secondary,Energy: diesel,MJ/year,86630439.48254073
SC9,Region12,secondary,Energy: gasoline,MJ/year,2210799152.3679514
SC9,Region12,secondary,Municipal budget,IRR/year,25492972518753.945
SC9,Region12,secondary,Non-public transport trips,trips/year,191567936.92250142
SC9,Region12,secondary,Population,persons,247791.92857142843
SC9,Region12,secondary,Public transport trips,trips/year,117901211.96527486
SC9,Region12,secondary,Trips total (effective),trips/year,309469148.8877763
SC9,Tehran,main,CO₂ emissions,t/year,15998327.110736238
SC9,Tehran,main,Climate cost,IRR/year,239974906661043.6
SC9,Tehran,main,Congestion index,–,0.3774754988881158
SC9,Tehran,main,Electricity use,kWh/year,1517873393.5940742
SC9,Tehran,main,Final energy,MJ/year,235321485816.66144
SC9,Tehran,main,Health indicator,IRR/year,1.1682137471245724e+16
SC9,Tehran,main,Modal share: car,–,0.5161336446020711
SC9,Tehran,main,Modal share: public transport,–,0.1735988326790827
SC9,Tehran,main,NOₓ emissions,t/year,60038.224675224235
SC9,Tehran,main,PM₂.₅ emissions,t/year,1090.102053027479
SC9,Tehran,main,Time loss (car),hours/year,778630144.1701653
SC9,Tehran,main,PCE-weighted VKT,PCE-km/year,67509112956.154015
SC9,Tehran,secondary,Energy: CNG,MJ/year,29140766073.89667
SC9,Tehran,secondary,Energy: diesel,MJ/year,1906440110.4632194
SC9,Tehran,secondary,Energy: gasoline,MJ/year,198809935415.36285
SC9,Tehran,secondary,Municipal budget,IRR/year,3226958546677714.5
SC9,Tehran,secondary,Non-public transport trips,trips/year,6324602932.755366
SC9,Tehran,secondary,Population,persons,10231493.648881452
SC9,Tehran,secondary,Public transport trips,trips/year,1331112190.02018
SC9,Tehran,secondary,Trips total (effective),trips/year,7655715122.775546
