domain,domain_label,target_series,metric_year_observations,weight,domain_nrmse,domain_nrmse_percent,weighted_objective_contribution
city_modal,Tehran modal shares,6,54,0.3,0.0725542943285862,7.25542943285862,0.02176628829857586
r12_modal,R12 modal shares,6,54,0.25,0.10834422707242036,10.834422707242036,0.02708605676810509
speed,Service speeds,5,45,0.1,0.09321101934360267,9.321101934360266,0.009321101934360266
activity,Travel activity,4,36,0.1,0.04158823580753212,4.158823580753212,0.004158823580753212
energy_environment,Energy and environment,4,36,0.15,0.09327501718217263,9.327501718217263,0.013991252577325893
annual_distance,Annual vehicle distance,3,27,0.05,0.1286575559768246,12.86575559768246,0.00643287779884123
operational_shares,Operational shares,3,27,0.05,1.2772445887418504e-16,1.2772445887418503e-14,6.386222943709253e-18
overall,Weighted fit loss,31,279,1.0,,,0.08275640095796155
