number,value,params_alpha_delay_congestion_r12,params_congestion_multiplier_r12,params_spd_bus_history_calibration_factor,params_spd_car_history_calibration_factor,user_attrs_component_activity,user_attrs_component_annual_distance,user_attrs_component_city_modal,user_attrs_component_energy_environment,user_attrs_component_operational_shares,user_attrs_component_r12_modal,user_attrs_component_speed,user_attrs_fit_loss,user_attrs_omega,user_attrs_stability,state
0,0.08275640095796155,1.0,3.04882125,1.0,1.0,0.04158823580753212,0.12865755597682466,0.07255429432858618,0.09327501718217261,3.193111471854626e-17,0.10834422707242039,0.09321101934360267,0.08275640095796155,0.0,0.0,COMPLETE
1,0.0883529450314148,1.0197316968394075,3.1902828619331753,1.0901428612819832,0.9749080237694725,0.03513829136676519,0.1296555276101707,0.06205512131262649,0.08759106867152064,3.193111471854626e-17,0.10516661234535842,0.0901195960046785,0.07705541489850855,0.28243825332265654,0.0,COMPLETE
2,0.10791878300307858,1.0732352291549871,2.7793564352110334,0.9311989040672406,0.9312037280884873,0.04157921217371839,0.12865688922454002,0.07256636758697516,0.0933895913271717,3.193111471854626e-17,0.1095979193842644,0.11508668130018081,0.08527726262985132,0.5660380093306818,0.0,COMPLETE
3,0.10152416006334951,1.093981970432399,2.7564908137259096,1.0416145155592091,1.0202230023486418,0.040819016372899114,0.12932026212729059,0.07151476597128013,0.08856254253423891,3.193111471854626e-17,0.10960522146874431,0.08669211201027523,0.08135724248338792,0.5041729394990396,0.0,COMPLETE
4,0.09935103149268557,0.9366809019706868,2.8548094897603127,0.9424678221356553,1.0664885281600844,0.04157921217371839,0.12865688922454002,0.07256636758697516,0.0933895913271717,3.193111471854626e-17,0.10953007922724765,0.09809998930441298,0.08356163339102035,0.39473495254163016,0.0,COMPLETE
5,0.08690112846662983,0.9582458280396084,3.007323755333546,1.0049512863264476,0.9608484485919075,0.04158823580753212,0.12865755597682466,0.07255429432858618,0.09327501718217261,3.193111471854626e-17,0.10875213281674963,0.09877823697396426,0.08341509915708002,0.08715073273874498,0.0,COMPLETE
6,0.09204007157973208,0.9732723686587383,2.922078487505591,0.9278987721304084,1.022370578944476,0.04158015914320467,0.12865693113919183,0.07256567234019419,0.09337999262878043,3.193111471854626e-17,0.10912274754896921,0.10250271599804288,0.08389852155470197,0.20353875062575286,0.0,COMPLETE
7,0.08626418759683613,1.0028468876827223,2.8656930590224556,1.0570351922786028,0.9912139968434073,0.037554598603761806,0.12946195574213984,0.06455980070402631,0.08943940951955005,3.193111471854626e-17,0.10951731903484363,0.08926303287376182,0.07931804233271067,0.17365363160313643,0.0,COMPLETE
8,0.09723755614178776,0.9341048247374584,3.114398255961042,0.9092900825439996,1.0184829137724085,0.041580158951463594,0.1286569357826248,0.07256565931959592,0.0933799897144771,3.193111471854626e-17,0.10738770485611296,0.10648353834337705,0.08386283898569388,0.3343679289023469,0.0,COMPLETE
9,0.10636737227353142,1.0616794696232923,3.332747017423684,1.0897771074506668,0.913010318597056,0.03513829136676519,0.1296555276101707,0.06205512131262649,0.08759106867152064,3.193111471854626e-17,0.10461408256565588,0.10358031145605513,0.07826335399872059,0.702600456870271,0.0,COMPLETE
10,0.0883529450314148,1.0197316968394075,3.1902828619331753,1.0901428612819832,0.9749080237694725,0.03513829136676519,0.1296555276101707,0.06205512131262649,0.08759106867152064,3.193111471854626e-17,0.10516661234535842,0.0901195960046785,0.07705541489850855,0.28243825332265654,0.0,COMPLETE
11,0.10791878300307858,1.0732352291549871,2.7793564352110334,0.9311989040672406,0.9312037280884873,0.04157921217371839,0.12865688922454002,0.07256636758697516,0.0933895913271717,3.193111471854626e-17,0.1095979193842644,0.11508668130018081,0.08527726262985132,0.5660380093306818,0.0,COMPLETE
12,0.09337803451041145,0.9717149419189177,2.772694897293521,1.071335875054579,1.0330230043663853,0.035873477913134735,0.128577730323633,0.062236258309265366,0.09196881773023746,3.193111471854626e-17,0.10940837206926901,0.08361531844663199,0.0781960593217908,0.37954937971551606,0.0,COMPLETE
13,0.08644330455907155,1.0212118259070253,2.98938143993071,1.0128727868056724,1.0573256038451162,0.04158823580753212,0.12865755597682466,0.07255429432858618,0.09327501718217261,3.193111471854626e-17,0.10825186959417048,0.08749125949739005,0.08216133560377781,0.10704922388234363,0.0,COMPLETE
14,0.09860895619277069,1.027656554852294,2.7588212233403837,1.0646411850264472,0.9342061661631477,0.03754813624303535,0.12890439869535236,0.06465714882056149,0.08887556488868054,3.193111471854626e-17,0.10953720162844116,0.09976372318469581,0.08028918566412155,0.45799426321622827,0.0,COMPLETE
15,0.08694539403620433,1.0431136939595906,2.930060348277384,1.0778870896261399,1.0106902099778168,0.03519267308664907,0.1288113572560811,0.06131111153630124,0.08708169500093717,3.193111471854626e-17,0.10972683443886708,0.08541452126421202,0.07738858361863789,0.2389202604391611,0.0,COMPLETE
16,0.0871560721913006,1.0414456308460769,3.0879721610825386,1.010841092493965,0.9518435136874824,0.04158823580753212,0.12865755597682466,0.07255429432858618,0.09327501718217261,3.193111471854626e-17,0.10599237111994837,0.09989520696273466,0.08283685573175675,0.10798041148859627,0.0,COMPLETE
17,0.09128315098610208,0.9669315988239287,3.3238139004567144,1.0068114868740328,1.0224444730476063,0.04158823580753212,0.12865755597682466,0.07255429432858618,0.09327501718217261,3.193111471854626e-17,0.10461408256565588,0.0900133062623313,0.08150409352314329,0.2444764365739699,0.0,COMPLETE
18,0.10161721138379935,0.9636572500249616,3.2943573456151327,0.9239603928791166,0.9368417667903313,0.0415801591229743,0.12865692159325154,0.07256566441585405,0.09337999255942567,3.193111471854626e-17,0.10461408256565588,0.11518502803772787,0.08403958364581683,0.4394406934495631,0.0,COMPLETE
19,0.10120864214241768,0.9162572802817505,2.7729276379401413,1.0579078457574471,0.9489035873706894,0.037554598603761806,0.12946195574213984,0.06455980070402631,0.08943940951955005,3.193111471854626e-17,0.10938969693473476,0.09683020493656215,0.08004285401396348,0.5291447032113549,0.0,COMPLETE
20,0.1049457032297991,0.9415237683243035,3.333692971520037,1.0399750019843195,0.9054922561960563,0.040819016372899114,0.12932026212729059,0.07151476597128013,0.08856254253423891,3.193111471854626e-17,0.10466012484811744,0.10814349697332341,0.08226610682453601,0.5669899101315772,0.0,COMPLETE
21,0.085227513056994,1.0175962769095037,2.9995303539573928,1.0106635698646578,1.048466165558432,0.04158823580753212,0.12865755597682466,0.07255429432858618,0.09327501718217261,3.193111471854626e-17,0.10818544503756534,0.08798221371859001,0.08219382488674652,0.07584220425618697,0.0,COMPLETE
22,0.0907590868915418,1.0767093350608756,3.182204683265551,0.984550265003895,1.0305832028715507,0.04158823580753212,0.12865755597682466,0.07255429432858618,0.09327501718217261,3.193111471854626e-17,0.10481359163857283,0.09234107177269982,0.08178674734240939,0.22430848872831025,0.0,COMPLETE
23,0.09156315473828705,1.009672173771687,3.0987080659474393,1.0713256891611525,1.0931545440012969,0.035873477913134735,0.128577730323633,0.062236258309265366,0.09196881773023746,3.193111471854626e-17,0.10641193191887836,0.08351326811299707,0.07743674425082965,0.35316026218643487,0.0,COMPLETE
24,0.08280615367736874,1.01361263498737,3.091657781963822,1.0223814487378344,1.0079206316363605,0.04158823580753212,0.12865755597682466,0.07255429432858618,0.09327501718217261,3.193111471854626e-17,0.10614878156107889,0.08973338577954165,0.08185977622372008,0.023659436341216384,0.0,COMPLETE
25,0.08709931641852882,0.9553330450067777,3.1108361418198047,1.0137583379938795,1.0504870817727576,0.04158823580753212,0.12865755597682466,0.07255429432858618,0.09327501718217261,3.193111471854626e-17,0.10738997815675966,0.08755464945758977,0.08195220174044508,0.12867786695209335,0.0,COMPLETE
26,0.08445038312990376,1.0249294090286234,3.1499363706915293,1.0136571814627378,1.032499610381544,0.04158823580753212,0.12865755597682466,0.07255429432858618,0.09327501718217261,3.193111471854626e-17,0.10516908776897096,0.08844712020763253,0.08148622621850218,0.07410392278503942,0.0,COMPLETE
27,0.08979124718136301,1.0303610321191223,3.2342077283238866,0.9956484975486852,1.0603332610182654,0.04158823580753212,0.12865755597682466,0.07255429432858618,0.09327501718217261,3.193111471854626e-17,0.10481069504562901,0.0896113714619158,0.08151305316309503,0.2069548504566996,0.0,COMPLETE
28,0.09753367475306798,1.0041564958952442,3.041031382889558,0.9230640045643487,0.9208070139913738,0.0415801591229743,0.12865692159325154,0.07256566441585405,0.09337999255942567,3.193111471854626e-17,0.10834422707242039,0.11865576658662615,0.08531919362739779,0.3053620281417548,0.0,COMPLETE
29,0.0883740751820779,1.0573667884108124,3.1972659651251045,1.0566314392220593,1.0430323656576421,0.037554598603761806,0.12946195574213984,0.06455980070402631,0.08943940951955005,3.193111471854626e-17,0.10486335166565904,0.08425335449612231,0.07765358265265057,0.26801231323568314,0.0,COMPLETE
30,0.08352254138634983,1.0107780960481594,3.078672086478835,0.985685540810927,0.9809178086322358,0.04158823580753212,0.12865755597682466,0.07255429432858618,0.09327501718217261,3.193111471854626e-17,0.1064770620354563,0.09772969924454877,0.08274147768881514,0.019526592438367345,0.0,COMPLETE
31,0.08673453622140655,1.0219369175286206,3.1203425954498116,0.9529619350847279,0.9806239789601625,0.04158823416597238,0.12865755568776222,0.07255430428144351,0.09327507461039959,3.193111471854626e-17,0.10599183212823182,0.10267776392444583,0.08311498810148088,0.09048870299814156,0.0,COMPLETE
32,0.08344288067976297,0.987934434284092,3.1433380955418873,0.9922789496152457,0.9992951456601982,0.04158823580753212,0.12865755597682466,0.07255429432858618,0.09327501718217261,3.193111471854626e-17,0.10599183212823182,0.09428922203366699,0.08227612249092084,0.029168954721053235,0.0,COMPLETE
33,0.08363822288867596,0.9862432243088823,3.094504011246326,0.9892504920325577,0.981026107713036,0.04158823580753212,0.12865755597682466,0.07255429432858618,0.09327501718217261,3.193111471854626e-17,0.10670346001706249,0.09723793616541979,0.0827489008763038,0.02223305030930437,0.0,COMPLETE
34,0.08795247991927836,1.0028743100090107,3.2593564563067083,1.009147263108817,0.9697509324175978,0.04158823580753212,0.12865755597682466,0.07255429432858618,0.09327501718217261,3.193111471854626e-17,0.10463198630609162,0.09669759765077197,0.08217699859709629,0.14438703305455178,0.0,COMPLETE
35,0.08356461755694554,0.9979452246242028,2.9863972604459748,0.9922516529570573,1.0003498823668506,0.04158823580753212,0.12865755597682466,0.07255429432858618,0.09327501718217261,3.193111471854626e-17,0.10926218100921607,0.09416231424576775,0.08308101893237699,0.012089965614213941,0.0,COMPLETE
36,0.0828860734134693,0.9878649343256716,3.0997660361536754,1.0583183604040065,0.9811131397696727,0.037554598603761806,0.12946195574213984,0.06455980070402631,0.08943940951955005,3.193111471854626e-17,0.10645727239341696,0.0907512860712395,0.07870185599210176,0.1046054355341887,0.0,COMPLETE
37,0.08300450719739741,0.989165397020943,3.093252623045388,1.0240641166047522,1.013049065707153,0.04158823580753212,0.12865755597682466,0.07255429432858618,0.09327501718217261,3.193111471854626e-17,0.10670346001706249,0.08900270549988872,0.08192537780975069,0.026978234691167884,0.0,COMPLETE
38,0.08444776895979601,0.9677892084541884,3.0057352367183032,1.0567515690518776,0.9748264079860407,0.037554598603761806,0.12946195574213984,0.06455980070402631,0.08943940951955005,3.193111471854626e-17,0.10861698024422305,0.09189415109677702,0.07935606945735704,0.12729248756097436,0.0,COMPLETE
39,0.08388001967683319,0.9792378017239417,3.1591374880224614,1.062717439896829,1.0051709672181555,0.03754814962102651,0.12890437695698714,0.06465722159926125,0.08887549994793315,3.193111471854626e-17,0.10616680169444614,0.08709281901420216,0.07817950760695211,0.14251280174702685,0.0,COMPLETE
